Line #,Fitted,Rev,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer 2,Manufacturer Part Number 2
"12","Fitted","","CAP CER 0.1uF 16V 10% X7R 0402","0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)","C1, C3, C5, C6, C7, C8, C9, C10, C11, C12, C14, C15, C18, C20, C22, C23, C25, C26, C29, C33, C34, C43, C44, C48, C52","25","Murata","GCM155R71C104KA55D","",""
"12","Not Fitted","","CAP CER 0.1uF 16V 10% X7R 0402","0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)","C2, C19","0","Murata","GCM155R71C104KA55D","",""
"13","Fitted","","CAP CER 1uF 25V 10% X5R 0402","±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)","C45","1","Samsung","CL05A105KA5NQNC","",""
"14","Not Fitted","","CAP CER 1.5pF 50V C0G 0402","1.5pF ±0.25pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","C54","0","Samsung","CL05C1R5CB5NNNC","",""
"15","Fitted","","CAP CER 4.7uF 16V 10% X5R 0603","4.7µF ±10% 16V Ceramic Capacitor X5R 0603 (1608 Metric)","C16, C37","2","TDK","C1608X5R1C475K080AC","",""
"16","Fitted","","CAP CER 10uF 6.3V 20% X5R 0603","10µF ±20% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)","C30, C31, C32, C36, C39","5","Samsung","CL10A106MQ8NNNC","",""
"17","Fitted","","CAP CER 22uF 16V 10% X5R 0805","22µF ±10% 16V Ceramic Capacitor X5R 0805 (2012 Metric)","C24, C27, C28","3","Samsung","CL21A226KOQNNNE","",""
"18","Fitted","","CAP CER 220pF 50V 5% C0G 0402","220pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","C42, C47","2","Samsung","CL05C221JB5NNNC","",""
"19","Fitted","","CAP CER 560pF 50V 10% X7R 0402","560pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)","C21","1","Samsung","CL05B561KB5NNNC","",""
"20","Fitted","","CAP CER 1000pF 1000V 10% X7R 0805","1000pF ±10% 1000V (1kV) Ceramic Capacitor X7R 0805 (2012 Metric)","C17","1","KEMET","C0805C102KDRACTU","",""
"21","Fitted","","CAP CER 1500pF 50V 10% X7R 0402","1500pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)","C41, C46, C51","3","Murata","GCM155R71H152KA37D","",""
"21","Not Fitted","","CAP CER 1500pF 50V 10% X7R 0402","1500pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)","C38, C49","0","Murata","GCM155R71H152KA37D","",""
"22","Fitted","","CAP CER 2.2uF 6.3V 10% X5R 0402","2.2µF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)","C4, C13, C40, C50, C58","5","Samsung","CL05A225KQ5NSNC","",""
"23","Fitted","","CAP CER 10uF 16V 20% X5R 0603","10µF ±20% 16V Ceramic Capacitor X5R 0603 (1608 Metric)","C35","1","Murata","GRM188R61C106MA73D","",""
"24","Fitted","","CB2518T1R5M","1.5µH Unshielded Wirewound Inductor 1.4A 91mOhm Max 1007 (2518 Metric)","L1","1","Taiyo Yuden","CB2518T1R5M","",""
"25","Fitted","","CB2518T4R7MRV","4.7µH Unshielded Wirewound Inductor 820mA 130mOhm Max 1007 (2518 Metric)","L2, L3","2","Taiyo Yuden","CB2518T4R7MRV","",""
"26","Fitted","","CSTNE8M00G550000R0","8MHz Ceramic Resonator Built in Capacitor 33pF ±0.2% 40 Ohms -40°C ~ 85°C Surface Mount","X2","1","Murata","CSTNE8M00G550000R0","",""
"27","Fitted","","DMG2305UX-7","P-Channel 20V 4.2A (Ta) 1.4W (Ta) Surface Mount SOT-23","Q1","1","Diodes","DMG2305UX-7","",""
