Altium Designer Pick and Place Locations
C:\Users\16032\AppData\Local\TempReleases\Snapshot\2\Assembly Production\Assembly\Pick Place\FD-JL-PCB-MB_C1.txt

========================================================================================================================
File Design Information:

Date:       09/11/20
Time:       12:25
Revision:   Not in VersionControl
Variant:    Production
Units used: mil

Designator Comment                             Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                               
C15        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         222.559       3138.559      360      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
C14        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         -248.031      397.638       90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
C12        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         407.598       713.362       180      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
C11        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         -98.425       712.598       360      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
C10        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         -188.976      1299.213      90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
C9         "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         393.701       1413.386      360      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
C8         "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         521.772       1221.236      270      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
C7         "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         525.709       1111.000      270      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
C6         "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         521.772       894.465       90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
C5         "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         553.268       894.465       90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
C2         "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         663.504       941.709       360      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
C1         "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         -238.071      831.472       180      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
